content,score,clean_text,sentiment,sentiment_label
"Untuk tombol penargetan sangat buruk, angel camera sangat buruk, musuh yg harus nenjadi prioritas untuk kita bunuh jarang menjadi target otomatis, mode klik 2x juga sangat buruk bahkan beberapa objek tidak dapat diklik misalnya tower, totem, stone dan lainnya, player jadi kesulitan menargetan prioritas musuh nya. Angel camera juga sangat buruk sehingga banyak skill yg jadi miss untuk lawan, kendala ini sangat menggangu. Selain itu banyak bug yg meanggangu seperti tidak bisa menjual artefact",2,"tombol penargetan buruk, angel camera buruk, musuh nenjadi prioritas bunuh jarang target otomatis, mode klik 2x buruk objek diklik tower, totem, stone lainnya, player kesulitan menargetan prioritas musuh nya. angel camera buruk skill miss lawan, kendala menggangu. bug meanggangu menjual artefact",-0.1531,negatif
"Bug yang paling mengganggu banget adalah bug loading dari awal rilis sampai saat ini tidak kunjung diperbaiki, saat mau masuk dungeon error keluar atau beres story error pada saat loading yang stak disitu aja di reload kadang nggk ngaruh. Mohon diperbaiki lagi bugnya",2,"bug mengganggu banget bug loading rilis kunjung diperbaiki, masuk dungeon error beres story error loading stak disitu aja reload kadang nggk ngaruh. mohon diperbaiki bugnya",-0.6597,negatif
Untuk grafik karakter semuanya udah bagus kecuali masalah loading nya tolong diperbaiki lagi dong developer masalah nya itu ya makan waktu terlalu lama gitu padahal hp sudah mendukung ditambah padahal udah grafik paling rendah tapi masih disarankan untuk nurunin grafik itu maksudnya apa ya jadi saya kasih bintang 4 dulu lah,4,grafik karakter udah bagus kecuali loading tolong diperbaiki developer ya makan gitu hp mendukung ditambah udah grafik rendah disarankan nurunin grafik maksudnya ya kasih bintang 4,0.0,netral
"Gameplaynya bagus! Walaupun banyak yang mengeluh tentang bug, entah kenapa saya tidak mengalaminya😅. Tetapi, masih ada beberapa masalah yang saya jumpai: 1.ketika saya pindah ke aplikasi lain sebentar, ketika saya kembali ke game,langsung out, padahal belum sampai 1 menit. 2. Walaupun developer sering sekali membagikan item yang banyak ( makasihhh😆), tapi tetap terasa jarak antara pemain f2p dan p2w masih kejauhan. 3.hp saya ram 6, tapi grafisnya kadang down, padahal sudah disetel tipe rendah",4,"gameplaynya bagus! mengeluh bug, mengalaminya😅. tetapi, jumpai: 1.ketika pindah aplikasi sebentar, game,langsung out, 1 menit. 2. developer membagikan item ( makasihhh😆), jarak pemain f2p p2w kejauhan. 3.hp ram 6, grafisnya kadang down, disetel tipe rendah",0.0,netral
"Gamenya bagus, graphic bagus, skillnya keren2. ramah free player. main game ini buat ketagihan. Sayangnya bosen lama2 kalo mengulang2 daily, tambah fitur sweep atau raid donk. Skin dibuat + effect donk misal nambah hp/atk. Cuma skin doang jadi ga seru. Pas loading kadang sering hang berhenti.",3,"gamenya bagus, graphic bagus, skillnya keren2. ramah free player. main game ketagihan. sayangnya bosen lama2 mengulang2 daily, fitur sweep raid donk. skin + effect donk nambah hp/atk. skin doang seru. pas loading kadang hang berhenti.",0.5106,positif
"Teruntuk developer, sayainta tolong perbaiki bug nya setiap kali lading pasti ngebug dan harus keluar dan login lagi. Secara keseluruahan game ini bagus keren akan tetapi bug nya yang sering membuat saya malas untuk main Terimakasih🤝🏻",5,"teruntuk developer, sayainta tolong perbaiki bug kali lading ngebug login lagi. keseluruahan game bagus keren bug malas main terimakasih🤝🏻",0.0,netral
"Dari segi gameplay sudah bagus dan event-eventnya banyak yang menarik ditambah developernya baik banget suka ngasih kode reedem dan bansos di inbox, tapi hanya 1 kekurangan dari game ini yakni bug loading dan bug in game yang sangat meresahkan bagi banyak pemain termasuk saya sendiri. Semoga kedepannya developer bisa segera memperbaiki bug ini. Jika bug gamenya sudah Fiks saya janji akan kasih bintang⭐5 okee",4,"segi gameplay bagus event-eventnya menarik ditambah developernya banget suka ngasih kode reedem bansos inbox, 1 kekurangan game bug loading bug in game meresahkan pemain sendiri. semoga kedepannya developer memperbaiki bug ini. bug gamenya fiks janji kasih bintang⭐5 okee",0.0,netral
"Masih banyak bug nya, setiap selesai kan gate, malah ngestuck, terus ada juga jadi blue screen dan black screen, tolong update selanjutnya di perbaiki bug nya, untuk yang lain udah bagus, dan kisah seong jinwo nya bagus",3,"bug nya, selesai gate, ngestuck, blue screen black screen, tolong update perbaiki bug nya, udah bagus, kisah seong jinwo bagus",0.0,netral
"Game udh bgus ada jln crita yg sru bgt. Tpi tlng hilang in bug yg mengganggu kyk patah-patah pdhl wifi dan data msih bgus, memori jga tidak bermasalah. Jdi tlng hilangkn bug macet/patah-patah nya krena itu sangat mengganggu saat bermain. Itu saran sya smga bisa diperbaiki 🙏",5,"game udh bgus jln crita sru bgt. tpi tlng hilang in bug mengganggu kyk patah-patah pdhl wifi data msih bgus, memori jga bermasalah. jdi tlng hilangkn bug macet/patah-patah krena mengganggu bermain. saran sya smga diperbaiki 🙏",0.0,netral
"Gamenya banyak bug di bagian loading screen nya, apalagi yg chapter chapter itu, hp ram 12 GB didoble wifi sama data masa iya gak bisa masuk, devolopernya ANJIGG masalah kaya gini gak dibenerin THOLO emng,, gimana player baru mau topup masalah kaya gini bug aja kaga dibenerin",2,"gamenya bug loading screen nya, chapter chapter itu, hp ram 12 gb didoble wifi data iya masuk, devolopernya anjigg kaya gini dibenerin tholo emng,, gimana player topup kaya gini bug aja kaga dibenerin",0.0,netral
