content,score
"Untuk tombol penargetan sangat buruk, angel camera sangat buruk, musuh yg harus nenjadi prioritas untuk kita bunuh jarang menjadi target otomatis, mode klik 2x juga sangat buruk bahkan beberapa objek tidak dapat diklik misalnya tower, totem, stone dan lainnya, player jadi kesulitan menargetan prioritas musuh nya. Angel camera juga sangat buruk sehingga banyak skill yg jadi miss untuk lawan, kendala ini sangat menggangu. Selain itu banyak bug yg meanggangu seperti tidak bisa menjual artefact",2
"Bug yang paling mengganggu banget adalah bug loading dari awal rilis sampai saat ini tidak kunjung diperbaiki, saat mau masuk dungeon error keluar atau beres story error pada saat loading yang stak disitu aja di reload kadang nggk ngaruh. Mohon diperbaiki lagi bugnya",2
Untuk grafik karakter semuanya udah bagus kecuali masalah loading nya tolong diperbaiki lagi dong developer masalah nya itu ya makan waktu terlalu lama gitu padahal hp sudah mendukung ditambah padahal udah grafik paling rendah tapi masih disarankan untuk nurunin grafik itu maksudnya apa ya jadi saya kasih bintang 4 dulu lah,4
"Gameplaynya bagus! Walaupun banyak yang mengeluh tentang bug, entah kenapa saya tidak mengalaminya😅. Tetapi, masih ada beberapa masalah yang saya jumpai: 1.ketika saya pindah ke aplikasi lain sebentar, ketika saya kembali ke game,langsung out, padahal belum sampai 1 menit. 2. Walaupun developer sering sekali membagikan item yang banyak ( makasihhh😆), tapi tetap terasa jarak antara pemain f2p dan p2w masih kejauhan. 3.hp saya ram 6, tapi grafisnya kadang down, padahal sudah disetel tipe rendah",4
"Gamenya bagus, graphic bagus, skillnya keren2. ramah free player. main game ini buat ketagihan. Sayangnya bosen lama2 kalo mengulang2 daily, tambah fitur sweep atau raid donk. Skin dibuat + effect donk misal nambah hp/atk. Cuma skin doang jadi ga seru. Pas loading kadang sering hang berhenti.",3
"Teruntuk developer, sayainta tolong perbaiki bug nya setiap kali lading pasti ngebug dan harus keluar dan login lagi. Secara keseluruahan game ini bagus keren akan tetapi bug nya yang sering membuat saya malas untuk main Terimakasih🤝🏻",5
"Dari segi gameplay sudah bagus dan event-eventnya banyak yang menarik ditambah developernya baik banget suka ngasih kode reedem dan bansos di inbox, tapi hanya 1 kekurangan dari game ini yakni bug loading dan bug in game yang sangat meresahkan bagi banyak pemain termasuk saya sendiri. Semoga kedepannya developer bisa segera memperbaiki bug ini. Jika bug gamenya sudah Fiks saya janji akan kasih bintang⭐5 okee",4
"Masih banyak bug nya, setiap selesai kan gate, malah ngestuck, terus ada juga jadi blue screen dan black screen, tolong update selanjutnya di perbaiki bug nya, untuk yang lain udah bagus, dan kisah seong jinwo nya bagus",3
"Game udh bgus ada jln crita yg sru bgt. Tpi tlng hilang in bug yg mengganggu kyk patah-patah pdhl wifi dan data msih bgus, memori jga tidak bermasalah. Jdi tlng hilangkn bug macet/patah-patah nya krena itu sangat mengganggu saat bermain. Itu saran sya smga bisa diperbaiki 🙏",5
"Gamenya banyak bug di bagian loading screen nya, apalagi yg chapter chapter itu, hp ram 12 GB didoble wifi sama data masa iya gak bisa masuk, devolopernya ANJIGG masalah kaya gini gak dibenerin THOLO emng,, gimana player baru mau topup masalah kaya gini bug aja kaga dibenerin",2
"Tolong developer perhatiin lah aspirasi player,tolong jangan event mulu yang di update,ini update muluk tapi systemnya masih sering nge bug apalagi pas loading masih aja sering eror,kalau kek gini terus gak heran banyak player cabut.",4
